,main1,main2,main3,main4,main5,main6,bonus,times,date
100,06,08,11,14,31,33,23,第100回,2002年9月5日
101,21,27,29,30,36,40,23,第101回,2002年9月12日
102,04,05,18,27,35,36,41,第102回,2002年9月19日
103,01,16,17,27,29,34,39,第103回,2002年9月26日
104,01,11,17,26,28,35,12,第104回,2002年10月3日
105,01,09,14,22,25,34,18,第105回,2002年10月10日
106,08,11,21,22,25,27,26,第106回,2002年10月17日
107,04,05,11,12,28,32,37,第107回,2002年10月24日
108,09,22,23,25,34,37,08,第108回,2002年10月31日
109,02,05,12,18,30,41,24,第109回,2002年11月7日
110,05,06,08,19,37,41,09,第110回,2002年11月14日
111,11,15,21,31,32,43,24,第111回,2002年11月21日
112,16,18,23,25,29,30,41,第112回,2002年11月28日
113,03,17,27,29,30,42,06,第113回,2002年12月5日
114,07,13,14,29,38,42,09,第114回,2002年12月12日
115,08,09,11,27,37,39,18,第115回,2002年12月19日
116,08,10,15,16,26,31,42,第116回,2002年12月26日
117,05,07,19,20,38,43,04,第117回,2003年1月9日
118,09,13,21,30,32,37,20,第118回,2003年1月16日
119,03,04,11,12,15,30,17,第119回,2003年1月23日
120,15,18,22,25,36,40,14,第120回,2003年1月30日
121,03,08,10,22,28,41,35,第121回,2003年2月6日
122,19,20,21,25,33,42,41,第122回,2003年2月13日
123,14,21,26,28,29,31,08,第123回,2003年2月20日
124,04,17,23,30,39,40,28,第124回,2003年2月27日
125,11,15,19,30,36,41,10,第125回,2003年3月6日
126,05,06,09,10,21,38,20,第126回,2003年3月13日
127,14,16,21,26,37,40,03,第127回,2003年3月20日
128,06,10,18,20,29,39,21,第128回,2003年3月27日
129,06,18,25,26,30,42,24,第129回,2003年4月3日
130,22,30,31,34,38,39,02,第130回,2003年4月10日
131,06,30,33,34,40,43,01,第131回,2003年4月17日
132,03,18,23,31,32,37,01,第132回,2003年4月24日
133,17,24,26,35,40,41,16,第133回,2003年5月1日
134,02,06,11,14,18,19,21,第134回,2003年5月8日
135,07,13,30,33,35,36,11,第135回,2003年5月15日
136,03,13,26,31,32,39,01,第136回,2003年5月22日
137,10,13,20,22,25,42,14,第137回,2003年5月29日
138,07,09,10,16,23,29,18,第138回,2003年6月5日
139,10,21,22,28,37,41,12,第139回,2003年6月12日
140,17,19,29,37,39,40,10,第140回,2003年6月19日
141,08,09,14,24,32,39,30,第141回,2003年6月26日
142,02,16,22,27,29,39,38,第142回,2003年7月3日
143,17,21,22,27,33,41,43,第143回,2003年7月10日
144,01,16,19,33,38,41,43,第144回,2003年7月17日
145,01,04,10,21,23,38,07,第145回,2003年7月24日
146,07,17,27,36,37,39,04,第146回,2003年7月31日
147,16,18,20,29,30,38,27,第147回,2003年8月7日
148,03,16,18,20,28,29,09,第148回,2003年8月14日
149,08,09,13,20,33,37,19,第149回,2003年8月21日
150,10,11,18,20,31,43,27,第150回,2003年8月28日
151,03,08,17,25,28,32,27,第151回,2003年9月4日
152,04,08,12,16,31,33,17,第152回,2003年9月11日
153,04,07,08,12,25,26,41,第153回,2003年9月18日
154,07,09,18,26,27,38,14,第154回,2003年9月25日
155,05,06,07,18,22,27,41,第155回,2003年10月2日
156,06,20,22,29,30,35,39,第156回,2003年10月9日
157,05,08,17,19,25,27,21,第157回,2003年10月16日
158,01,06,12,35,37,38,30,第158回,2003年10月23日
159,12,23,30,31,38,42,06,第159回,2003年10月30日
160,04,10,20,30,31,32,26,第160回,2003年11月6日
161,23,26,28,33,38,42,08,第161回,2003年11月13日
162,03,22,25,30,33,37,35,第162回,2003年11月20日
163,02,03,11,17,24,34,28,第163回,2003年11月27日
164,01,02,13,14,35,38,32,第164回,2003年12月4日
165,09,11,16,21,25,36,10,第165回,2003年12月11日
166,14,18,20,28,34,38,17,第166回,2003年12月18日
167,10,14,17,19,29,42,02,第167回,2003年12月25日
168,01,06,31,32,36,39,42,第168回,2004年1月8日
169,03,15,17,19,26,36,39,第169回,2004年1月15日
170,10,12,15,17,30,31,06,第170回,2004年1月22日
171,05,06,17,23,32,33,39,第171回,2004年1月29日
172,10,11,22,23,33,34,27,第172回,2004年2月5日
173,06,10,22,30,31,35,18,第173回,2004年2月12日
174,02,09,16,36,38,42,06,第174回,2004年2月19日
175,02,03,10,22,28,40,43,第175回,2004年2月26日
176,08,19,25,31,34,37,30,第176回,2004年3月4日
177,06,18,19,30,36,41,27,第177回,2004年3月11日
178,10,22,27,30,36,39,04,第178回,2004年3月18日
179,03,06,11,13,15,16,23,第179回,2004年3月25日
180,04,10,11,12,20,36,28,第180回,2004年4月1日
181,01,02,07,21,29,30,23,第181回,2004年4月8日
182,22,23,28,37,40,43,30,第182回,2004年4月15日
183,14,29,31,36,38,40,33,第183回,2004年4月22日
184,05,07,23,31,39,42,19,第184回,2004年4月29日
185,08,13,14,18,35,41,33,第185回,2004年5月6日
186,07,16,18,33,36,41,04,第186回,2004年5月13日
187,12,21,22,27,39,40,25,第187回,2004年5月20日
188,03,08,18,25,26,39,38,第188回,2004年5月27日
189,03,32,35,36,39,40,05,第189回,2004年6月3日
190,17,23,30,31,39,43,42,第190回,2004年6月10日
191,04,07,25,27,34,43,35,第191回,2004年6月17日
192,03,07,19,27,39,41,10,第192回,2004年6月24日
193,03,04,18,31,40,43,22,第193回,2004年7月1日
194,04,11,12,21,36,38,37,第194回,2004年7月8日
195,05,10,12,22,26,41,19,第195回,2004年7月15日
196,04,05,11,16,30,33,14,第196回,2004年7月22日
197,09,10,17,22,28,30,19,第197回,2004年7月29日
198,04,05,06,17,20,42,10,第198回,2004年8月5日
199,03,14,24,25,33,36,41,第199回,2004年8月12日
200,04,07,11,19,25,28,02,第200回,2004年8月19日
201,10,13,16,17,24,39,43,第201回,2004年8月26日
202,09,18,26,28,33,40,10,第202回,2004年9月2日
203,12,18,20,27,35,37,39,第203回,2004年9月9日
204,02,17,20,25,39,42,30,第204回,2004年9月16日
205,04,07,09,16,18,34,26,第205回,2004年9月23日
206,01,03,16,22,41,43,13,第206回,2004年9月30日
207,17,21,23,30,31,34,05,第207回,2004年10月7日
208,18,24,29,32,35,39,23,第208回,2004年10月14日
209,08,27,30,35,40,41,09,第209回,2004年10月21日
210,01,06,21,22,37,40,19,第210回,2004年10月28日
211,10,14,23,26,33,36,24,第211回,2004年11月4日
212,01,11,17,32,35,39,20,第212回,2004年11月11日
213,04,07,18,26,29,43,08,第213回,2004年11月18日
214,04,07,09,11,20,36,32,第214回,2004年11月25日
